==================================================
MICRO-515 Challenge 1b - Evaluation Results
==================================================

Controller type : OscillatoryController
Checkpoint      : results/20260313_161701_oscillatory_controller_ckpts
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:    1187.32
  Episode   2:    1181.88
  Episode   3:    1118.32
  Episode   4:    1188.27
  Episode   5:    1117.27
  Episode   6:    1182.08
  Episode   7:    1233.56
  Episode   8:    1164.51
  Episode   9:    1203.40
  Episode  10:    1212.19
  Episode  11:    1191.83
  Episode  12:    1196.78
  Episode  13:    1228.14
  Episode  14:    1203.00
  Episode  15:    1179.71
  Episode  16:    1209.95
  Episode  17:    1139.99
  Episode  18:    1005.96
  Episode  19:    1217.63
  Episode  20:    1190.64
  Episode  21:    1219.08
  Episode  22:    1172.78
  Episode  23:    1196.22
  Episode  24:    1188.78
  Episode  25:    1196.77
  Episode  26:    1108.35
  Episode  27:    1199.78
  Episode  28:    1209.29
  Episode  29:    1241.59
  Episode  30:    1156.91
  Episode  31:    1106.35
  Episode  32:    1038.88
  Episode  33:    1203.68
  Episode  34:    1221.62
  Episode  35:    1208.25
  Episode  36:    1211.22
  Episode  37:    1168.27
  Episode  38:    1206.33
  Episode  39:    1210.40
  Episode  40:    1218.67
  Episode  41:    1214.43
  Episode  42:    1191.42
  Episode  43:    1235.16
  Episode  44:    1131.04
  Episode  45:    1164.96
  Episode  46:    1224.24
  Episode  47:    1219.67
  Episode  48:    1132.44
  Episode  49:    1144.95
  Episode  50:    1213.44
  Episode  51:    1192.60
  Episode  52:    1059.48
  Episode  53:    1031.21
  Episode  54:    1171.42
  Episode  55:    1193.66
  Episode  56:    1207.16
  Episode  57:    1209.66
  Episode  58:    1150.76
  Episode  59:    1229.28
  Episode  60:    1098.03
  Episode  61:    1222.00
  Episode  62:    1213.71
  Episode  63:    1209.50
  Episode  64:    1220.83
  Episode  65:    1180.99
  Episode  66:    1222.43
  Episode  67:    1189.79
  Episode  68:    1204.94
  Episode  69:    1236.72
  Episode  70:    1210.79
  Episode  71:    1130.98
  Episode  72:    1208.64
  Episode  73:    1174.54
  Episode  74:    1220.45
  Episode  75:    1195.88
  Episode  76:    1168.36
  Episode  77:    1251.15
  Episode  78:    1171.69
  Episode  79:    1232.58
  Episode  80:    1132.55
  Episode  81:    1161.71
  Episode  82:    1145.79
  Episode  83:    1107.21
  Episode  84:    1192.05
  Episode  85:    1214.99
  Episode  86:    1074.85
  Episode  87:    1070.32
  Episode  88:    1205.47
  Episode  89:    1211.12
  Episode  90:    1225.00
  Episode  91:    1087.88
  Episode  92:    1185.71
  Episode  93:    1192.80
  Episode  94:    1168.61
  Episode  95:    1132.68
  Episode  96:    1228.33
  Episode  97:    1178.89
  Episode  98:    1188.60
  Episode  99:    1199.03
  Episode 100:    1211.12
  Episode 101:    1173.70
  Episode 102:    1228.27
  Episode 103:    1197.87
  Episode 104:    1208.31
  Episode 105:    1169.37
  Episode 106:    1230.59
  Episode 107:    1251.01
  Episode 108:    1225.01
  Episode 109:    1198.31
  Episode 110:    1223.83
  Episode 111:    1220.49
  Episode 112:    1201.06
  Episode 113:    1160.51
  Episode 114:    1160.29
  Episode 115:    1190.31
  Episode 116:    1212.87
  Episode 117:    1161.33
  Episode 118:    1200.62
  Episode 119:    1133.25
  Episode 120:    1207.86
  Episode 121:    1162.37
  Episode 122:    1209.70
  Episode 123:    1180.80
  Episode 124:    1195.04
  Episode 125:    1186.68
  Episode 126:    1222.60
  Episode 127:    1094.93
  Episode 128:    1168.26
  Episode 129:    1202.94
  Episode 130:    1216.91
  Episode 131:    1170.49
  Episode 132:    1223.70
  Episode 133:    1192.17
  Episode 134:    1215.19
  Episode 135:    1219.10
  Episode 136:    1191.81
  Episode 137:    1098.85
  Episode 138:    1087.84
  Episode 139:    1217.37
  Episode 140:     988.16
  Episode 141:    1133.20
  Episode 142:    1198.99
  Episode 143:    1250.60
  Episode 144:    1183.78
  Episode 145:    1197.14
  Episode 146:    1199.29
  Episode 147:    1196.42
  Episode 148:    1030.47
  Episode 149:    1196.77
  Episode 150:    1194.87
  Episode 151:    1199.71
  Episode 152:    1195.49
  Episode 153:    1200.78
  Episode 154:    1072.07
  Episode 155:    1223.34
  Episode 156:    1197.43
  Episode 157:    1203.40
  Episode 158:    1200.32
  Episode 159:    1203.10
  Episode 160:    1218.52
  Episode 161:    1105.51
  Episode 162:    1106.75
  Episode 163:    1194.59
  Episode 164:    1210.49
  Episode 165:    1155.54
  Episode 166:    1096.86
  Episode 167:    1141.79
  Episode 168:    1016.43
  Episode 169:    1241.71
  Episode 170:    1185.38
  Episode 171:    1127.44
  Episode 172:     931.48
  Episode 173:    1228.57
  Episode 174:    1219.54
  Episode 175:    1085.65
  Episode 176:    1207.88
  Episode 177:    1228.50
  Episode 178:    1231.72
  Episode 179:    1229.59
  Episode 180:    1201.06
  Episode 181:    1255.41
  Episode 182:    1199.15
  Episode 183:    1236.71
  Episode 184:    1236.01
  Episode 185:    1167.57
  Episode 186:    1197.84
  Episode 187:    1187.72
  Episode 188:    1222.37
  Episode 189:    1161.60
  Episode 190:    1037.25
  Episode 191:    1159.51
  Episode 192:    1205.08
  Episode 193:    1202.22
  Episode 194:    1171.37
  Episode 195:    1193.25
  Episode 196:    1137.89
  Episode 197:    1207.08
  Episode 198:    1186.86
  Episode 199:    1207.66
  Episode 200:    1114.80
  Episode 201:    1206.72
  Episode 202:    1204.08
  Episode 203:    1200.44
  Episode 204:    1215.01
  Episode 205:    1196.14
  Episode 206:    1182.63
  Episode 207:    1135.08
  Episode 208:    1183.94
  Episode 209:    1216.52
  Episode 210:    1176.79
  Episode 211:    1162.63
  Episode 212:    1143.84
  Episode 213:    1224.42
  Episode 214:    1200.77
  Episode 215:    1233.81
  Episode 216:    1219.83
  Episode 217:    1115.56
  Episode 218:    1214.19
  Episode 219:    1237.28
  Episode 220:    1192.52
  Episode 221:    1207.21
  Episode 222:    1161.22
  Episode 223:    1198.29
  Episode 224:    1134.91
  Episode 225:    1190.82
  Episode 226:    1173.44
  Episode 227:    1229.78
  Episode 228:    1160.77
  Episode 229:    1208.52
  Episode 230:    1158.71
  Episode 231:    1226.59
  Episode 232:    1216.67
  Episode 233:    1152.90
  Episode 234:    1189.79
  Episode 235:    1157.90
  Episode 236:    1192.28
  Episode 237:    1200.11
  Episode 238:    1120.09
  Episode 239:    1148.45
  Episode 240:    1133.24
  Episode 241:    1210.21
  Episode 242:    1237.46
  Episode 243:    1174.21
  Episode 244:    1191.10
  Episode 245:    1138.56
  Episode 246:    1223.94
  Episode 247:    1206.11
  Episode 248:    1208.98
  Episode 249:    1206.90
  Episode 250:    1240.02
  Episode 251:    1166.99
  Episode 252:    1194.42
  Episode 253:    1054.12
  Episode 254:    1229.57
  Episode 255:    1198.37
  Episode 256:    1232.44
--------------------------------------------------

MEAN SCORE : 1181.63
STD        : 50.05
MIN        : 931.48
MAX        : 1255.41

Video episode reward: 995.47
