==================================================
MICRO-515 Challenge 1a - Evaluation Results
==================================================

Controller type : NeuralNetworkController
Checkpoint      : results/20260313_111843_neural_controller_ckpts
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:     -62.20
  Episode   2:     -33.47
  Episode   3:     -28.47
  Episode   4:     -47.27
  Episode   5:     -54.24
  Episode   6:     -30.45
  Episode   7:     -32.06
  Episode   8:     -15.15
  Episode   9:     -58.82
  Episode  10:    -145.28
  Episode  11:     -29.60
  Episode  12:     -30.29
  Episode  13:     -56.30
  Episode  14:     -90.74
  Episode  15:     -49.61
  Episode  16:     -17.64
  Episode  17:     -67.43
  Episode  18:     -28.05
  Episode  19:     -29.97
  Episode  20:     -67.88
  Episode  21:   -1040.34
  Episode  22:     -17.19
  Episode  23:     -26.89
  Episode  24:     -19.54
  Episode  25:     -20.85
  Episode  26:     -49.94
  Episode  27:     -32.21
  Episode  28:     -37.98
  Episode  29:     -25.18
  Episode  30:     -36.01
  Episode  31:     -65.90
  Episode  32:     -39.57
  Episode  33:     -10.07
  Episode  34:     -26.19
  Episode  35:    -141.94
  Episode  36:     -33.21
  Episode  37:     -22.89
  Episode  38:     -28.58
  Episode  39:     -28.07
  Episode  40:     -29.79
  Episode  41:     -27.89
  Episode  42:     -26.31
  Episode  43:     -41.27
  Episode  44:     -24.24
  Episode  45:     -45.35
  Episode  46:     -42.74
  Episode  47:     -44.74
  Episode  48:     -20.33
  Episode  49:    -115.30
  Episode  50:     -19.46
  Episode  51:     -44.20
  Episode  52:     -18.78
  Episode  53:     -49.52
  Episode  54:     -72.12
  Episode  55:     -32.59
  Episode  56:     -48.45
  Episode  57:     -31.09
  Episode  58:     -18.42
  Episode  59:     -20.08
  Episode  60:     -18.96
  Episode  61:    -129.47
  Episode  62:     -25.55
  Episode  63:     -30.67
  Episode  64:     -25.44
  Episode  65:     -21.51
  Episode  66:     -40.69
  Episode  67:     -15.83
  Episode  68:     -75.62
  Episode  69:     -90.48
  Episode  70:     -28.63
  Episode  71:     -21.45
  Episode  72:     -28.93
  Episode  73:     -25.58
  Episode  74:     -29.95
  Episode  75:     -27.37
  Episode  76:     -34.85
  Episode  77:     -42.56
  Episode  78:     -32.84
  Episode  79:     -26.52
  Episode  80:     -49.44
  Episode  81:      -9.40
  Episode  82:     -15.30
  Episode  83:     -60.50
  Episode  84:     -22.51
  Episode  85:     -55.15
  Episode  86:     -21.99
  Episode  87:     -17.75
  Episode  88:     -70.58
  Episode  89:     -40.56
  Episode  90:     -10.01
  Episode  91:     -19.54
  Episode  92:     -21.75
  Episode  93:     -21.12
  Episode  94:     -11.90
  Episode  95:     -12.20
  Episode  96:     -29.86
  Episode  97:     -46.87
  Episode  98:     -37.43
  Episode  99:     -44.12
  Episode 100:     -12.79
  Episode 101:     -35.45
  Episode 102:     -31.81
  Episode 103:     -40.31
  Episode 104:     -59.88
  Episode 105:     -19.30
  Episode 106:     -34.35
  Episode 107:     -13.67
  Episode 108:      -4.01
  Episode 109:     -39.56
  Episode 110:    -467.21
  Episode 111:     -30.25
  Episode 112:     -23.04
  Episode 113:     -38.55
  Episode 114:     -23.99
  Episode 115:     -24.44
  Episode 116:     -35.75
  Episode 117:     -60.07
  Episode 118:     -28.68
  Episode 119:     -20.86
  Episode 120:     -63.58
  Episode 121:     -28.49
  Episode 122:     -24.81
  Episode 123:    -372.59
  Episode 124:     -43.62
  Episode 125:     -16.09
  Episode 126:     -19.73
  Episode 127:     -49.61
  Episode 128:     -34.29
  Episode 129:     -22.49
  Episode 130:     -32.34
  Episode 131:     -48.27
  Episode 132:     -19.33
  Episode 133:      -7.22
  Episode 134:     -13.40
  Episode 135:    -146.54
  Episode 136:     -23.51
  Episode 137:     -26.66
  Episode 138:     -19.10
  Episode 139:     -67.59
  Episode 140:     -22.88
  Episode 141:     -32.22
  Episode 142:     -49.29
  Episode 143:     -89.13
  Episode 144:     -18.41
  Episode 145:     -21.72
  Episode 146:     -24.45
  Episode 147:     -20.13
  Episode 148:     -47.24
  Episode 149:      -9.34
  Episode 150:     -39.82
  Episode 151:     -35.90
  Episode 152:     -29.84
  Episode 153:     -14.54
  Episode 154:     -29.53
  Episode 155:     -35.59
  Episode 156:     -27.66
  Episode 157:   -1156.10
  Episode 158:     -17.45
  Episode 159:     -90.20
  Episode 160:     -26.02
  Episode 161:     -31.44
  Episode 162:     -20.71
  Episode 163:     -48.50
  Episode 164:     -26.17
  Episode 165:     -16.78
  Episode 166:     -26.56
  Episode 167:     -29.96
  Episode 168:     -22.96
  Episode 169:     -21.34
  Episode 170:     -26.91
  Episode 171:     -16.10
  Episode 172:     -31.94
  Episode 173:     -62.52
  Episode 174:     -54.11
  Episode 175:     -28.11
  Episode 176:      -5.88
  Episode 177:     -19.94
  Episode 178:     -47.87
  Episode 179:     -37.10
  Episode 180:     -72.83
  Episode 181:     -33.41
  Episode 182:     -56.37
  Episode 183:     -25.08
  Episode 184:     -11.04
  Episode 185:     -24.07
  Episode 186:     -16.92
  Episode 187:     -56.53
  Episode 188:     -25.66
  Episode 189:     -48.17
  Episode 190:     -18.41
  Episode 191:     -25.12
  Episode 192:     -27.65
  Episode 193:     -42.29
  Episode 194:     -30.88
  Episode 195:     -60.72
  Episode 196:     -28.02
  Episode 197:     -28.90
  Episode 198:     -25.44
  Episode 199:     -28.68
  Episode 200:     -40.73
  Episode 201:     -43.57
  Episode 202:     -29.76
  Episode 203:     -34.92
  Episode 204:     -21.15
  Episode 205:     -85.66
  Episode 206:     -28.69
  Episode 207:     -31.78
  Episode 208:    -114.34
  Episode 209:     -28.70
  Episode 210:     -55.25
  Episode 211:     -24.98
  Episode 212:     -74.49
  Episode 213:     -30.85
  Episode 214:     -21.73
  Episode 215:     -66.18
  Episode 216:     -27.37
  Episode 217:     -43.43
  Episode 218:     -76.74
  Episode 219:     -43.86
  Episode 220:     -31.50
  Episode 221:     -22.57
  Episode 222:     -62.02
  Episode 223:     -52.19
  Episode 224:      -8.74
  Episode 225:     -54.30
  Episode 226:     -34.22
  Episode 227:     -17.39
  Episode 228:     -43.60
  Episode 229:     -29.49
  Episode 230:     -25.54
  Episode 231:      -8.85
  Episode 232:     -62.69
  Episode 233:     -34.80
  Episode 234:     -12.28
  Episode 235:     -60.96
  Episode 236:     -64.40
  Episode 237:     -77.23
  Episode 238:     -71.90
  Episode 239:     -34.96
  Episode 240:     -37.10
  Episode 241:      -5.14
  Episode 242:     -46.08
  Episode 243:     -37.43
  Episode 244:     -50.04
  Episode 245:     -23.71
  Episode 246:     -14.85
  Episode 247:     -24.01
  Episode 248:     -19.89
  Episode 249:     -47.93
  Episode 250:     -58.57
  Episode 251:     -47.90
  Episode 252:     -18.41
  Episode 253:     -24.35
  Episode 254:     -39.83
  Episode 255:     -19.09
  Episode 256:     -20.80
--------------------------------------------------

MEAN SCORE : -48.17
STD        : 101.91
MIN        : -1156.10
MAX        : -4.01

Video episode reward: -20.52
